#options: 480x854 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=24 lookahead_threads=6 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=1 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=30 rc=abr mbtree=1 bitrate=3604 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:130 out:127 type:P dur:2 cpbdur:2 q:7.14 aq:1.74 tex:284303 mv:5526 misc:1211 imb:80 pmb:926 smb:614 d:- ref:0 ;
in:128 out:128 type:B dur:2 cpbdur:2 q:6.64 aq:3.44 tex:51215 mv:2591 misc:1418 imb:1 pmb:742 smb:877 d:- ref:0 ;
in:127 out:129 type:b dur:2 cpbdur:2 q:6.39 aq:4.26 tex:3542 mv:552 misc:1058 imb:0 pmb:250 smb:1370 d:- ref:0 ;
in:129 out:130 type:b dur:2 cpbdur:2 q:6.89 aq:4.05 tex:9502 mv:647 misc:1107 imb:0 pmb:310 smb:1310 d:- ref:0 ;
in:132 out:131 type:P dur:2 cpbdur:2 q:7.20 aq:1.96 tex:229635 mv:3708 misc:1257 imb:28 pmb:939 smb:653 d:- ref:0 ;
in:131 out:132 type:b dur:2 cpbdur:2 q:7.17 aq:5.21 tex:14092 mv:879 misc:1301 imb:0 pmb:444 smb:1176 d:- ref:0 ;
in:134 out:133 type:P dur:2 cpbdur:2 q:7.10 aq:2.31 tex:162735 mv:2788 misc:1333 imb:15 pmb:866 smb:739 d:- ref:0 ;
in:133 out:134 type:b dur:2 cpbdur:2 q:7.15 aq:3.56 tex:8366 mv:583 misc:1235 imb:0 pmb:341 smb:1279 d:- ref:0 ;
in:136 out:135 type:P dur:2 cpbdur:2 q:6.94 aq:2.60 tex:161167 mv:2782 misc:1331 imb:15 pmb:818 smb:787 d:- ref:0 ;
in:135 out:136 type:b dur:2 cpbdur:2 q:7.02 aq:4.37 tex:12848 mv:852 misc:1052 imb:0 pmb:305 smb:1315 d:- ref:0 ;
